番剧id,分数,评分人数,番剧名,番剧简介,播放次数,播放时间
21769,9.7,12343,"""博多豚骨拉面团""",“你无论如何都有想要杀掉的人，无论怎样都想要杀人吗。”福冈是个外表看起来很和平的城市，但暗中却蔓延着...,8904556,"""2018-01-12"""
836,9.7,11524,"""命运石之门""",本作的故事发生在「Chaos;head」中的“涩谷崩坏”一年半后的世界，而舞台则从涩谷转移到了秋叶原...,16580223,"""2011-04-05"""
6481,9.7,9836,"""妄想学生会 剧场版""",「私立樱才学园」、原本是传统女子高中，但因为少子化问题影响，在现任校长政策下不得不改制为男女合校。作...,2949073,"""2017-07-21"""
6447,9.7,9627,"""鬼灯的冷彻 第二季""",那个世界存在着天国和地狱，地狱被分为八大地狱和八寒地狱两部分，其中更是划分了二百七十二个精细的部署，...,16170985,"""2017-10-08"""
21729,9.7,7768,"""戒律的复活""",【1/6台播为特别节目总集篇，网络配信不跟播，首话将于1/13播出】那还是人与非人的世界未曾分开的时...,11541351,"""2018-01-06"""
5394,9.7,7682,"""我的英雄学院""","「架空」成为「现实」！
这是一段，讲述我成为最棒的英雄的故事。
一切都始于中国·轻庆市，一则「发光的...",2496542,"""2016-04-03"""
3398,9.7,7535,"""冰菓""",我很好奇,16749478,"""2012-04-22"""
5989,9.7,6487,"""月色真美""","茜与小太郎。
初三时第一次被分到同班，相识的两人。
同班同学、社团伙伴、教师、父母……与周围的关联，...",19307869,"""2017-04-06"""
1177,9.7,6479,"""CLANNAD""","我们一起迈开了脚步…
　　在这长长的…长长的坡道上…
　　家族……被我拒绝的地方： CLANNAD的...",3570107,"""2007-10-04"""
21720,9.7,6470,"""小木乃伊到我家""",过着普通生活的男高中生·柏木空，某天突然收到了在埃及旅行的自称“冒险家”的父亲送来的木乃伊。“发现了...,12244266,"""2018-01-12"""
53,9.7,6108,"""月刊少女野崎君""","一张签名引发的血案…每周一次腹肌炼成！不一样的少（dou）女（bi）番！
高中女生佐仓千代好不容易提...",27553416,"""2014-07-06"""
441,9.7,5408,"""来自风平浪静的明天""",由于人口渐少，海洋村落“汐鹿生”中的波路中学被迫废校，学生们都转校到了陆地上的美滨中学。在海中生活的...,6828895,"""2013-10-03"""
2539,9.7,5255,"""魔法少女小圆""",来签订契约吧,7962231,"""2011-01-06"""
1672,9.7,5122,"""龙与虎""","樱花飞舞的四月，全新的高中二年级，新的班级……
眼神凶恶的普通男孩——高须龙儿，遇上了众人害怕、凶暴...",8249843,"""2008-10-02"""
6518,9.7,4294,"""春宵苦短，少女前进吧""",古色古香的京都，奇妙的恋爱之旅正在展开。春天，黑发少女踏上寻找伪电气白兰地的夜之旅，学长却被从天而降...,1296598,"""2017-04-07"""
